scientificName,decimalLatitude,decimalLongitude
Huperzia_phlegmaria_tardieuae,-24.7833333,47.1666667
Microgramma_lycopodioides,-24.7833333,47.1666667
Phymatodes_scolopendria,-24.7833333,47.1666667
Humata_repens,-24.7833333,47.1666667
Nephrolepis_biserrata,-24.7833333,47.1666667
Schizaea_dichotoma,-24.7833333,47.1666667
Lygodium_lanceolatum,-24.78333,46.03333
Selaginella_polymorpha,-24.78333,46.86666
Lygodium_lanceolatum,-24.78333,46.86666
Schizaea_dichotoma,-24.78333,46.86666
Cyathea_borbonica,-24.78333,46.86666
Davallia_chaerophylloides,-24.78333,46.86666
Selaginella_pectinata,-24.78333,46.86666
Huperzia_phlegmaria_tardieuae,-24.78333,47.16666
Phymatosorus_scolopendria,-24.78333,47.16666
Huperzia,-24.78333,47.16666
Pteridium_aquilinum,-24.7808334,47.1502778
Selaginella_pectinata,-24.78,46.03
Asplenium_dregeanum,-24.78,46.87
Microsorum_scolopendria,-24.7797223,47.1683334
Schizaea_dichotoma,-24.7794445,47.1708334
Actinostachys_confusa,-24.7788889,47.1525
Schizaea_dichotoma,-24.7783334,47.1708334
Lycopodiella_caroliniana,-24.7761111,47.165
Selaginella_lyallii,-24.775,47.15
Phymatodes,-24.7721945,47.1742778
Dicranopteris_linearis,-24.7677778,47.1583333
Lycopodiella_caroliniana,-24.7677778,47.1583333
Cyclosorus_interruptus,-24.7677778,47.1583333
Lindsaea_ensifolia,-24.7677778,47.1583333
Cyathea_boivinii_boivinii,-24.76666,46.88333
Pteridium_aquilinum,-24.76666,47.15
Schizaea_dichotoma,-24.7652778,47.1711111
Pteridium_aquilinum,-24.7602778,47.1488889
Selaginella,-24.7555556,46.8516667
Pellaea_calomelanos,-24.75,45.8666667
Nephrolepis_biserrata,-24.75,46.83
Nephrolepis_biserrata,-24.75,46.83333
Pellaea_angulosa,-24.75,46.85
Antrophyum_malgassicum,-24.75,46.85
Asplenium_pellucidum,-24.75,46.85
Asplenium_bipartitum,-24.75,46.85
Asplenium_dregeanum,-24.75,46.85
Asplenium,-24.75,46.85
Ctenitis_longivillosa,-24.75,46.85
Pyrrosia_niphoboloides,-24.75,46.85
Selaginella_pectinata,-24.75,46.85
Selaginella_polymorpha,-24.75,46.85
Cyathea_emilei_dauphinensis,-24.75,46.85
Huperzia_phlegmaria_tardieuae,-24.75,46.85
Didymoglossum_lenormandii,-24.75,46.85
Antrophyum_boryanum,-24.75,46.85
Terpsichore_elastica,-24.75,46.85
Alsophila_borbonica,-24.75,46.85
Arthropteris_orientalis,-24.75,46.85
Asplenium_herpetopteris,-24.75,46.85
Lycopodiella_caroliniana,-24.7438889,47.185
Lindsaea_ensifolia,-24.7438889,47.185
Schizaea_dichotoma,-24.7425,47.1775
Lycopodiella_caroliniana,-24.7413889,47.1758334
Pyrrosia_niphoboloides,-24.7338889,47.1647222
Elaphoglossum_aubertii,-24.7333333,46.7833333
Asplenium_sandersonii,-24.7333333,46.8333333
Elaphoglossum_forsythii-majoris,-24.7333333,46.85
Blechnum_biforme,-24.7333333,46.85
Megalastrum_magnum,-24.7333333,46.85
Nephrolepis_cordifolia,-24.7333333,46.85
Pteris_humbertii,-24.7333333,46.85
Lomariopsis_commersonii,-24.7333333,46.85
Asplenium_parvisorum,-24.7333333,46.8666667
Cyathea_melanocaula,-24.7333333,47.15
Vittaria,-24.73333,46.85
Tectaria,-24.7233334,46.9494444
Dicranopteris_linearis,-24.7188889,47.1808334
Lindsaea_ensifolia,-24.7188889,47.1808334
Lycopodiella,-24.7188889,47.1808334
Phymatodes,-24.7169445,47.0108333
Alsophila_similis,-24.7169445,47.0108333
Nephrolepis_biserrata,-24.7169445,47.0108333
Asplenium,-24.7166667,46.9333333
Asplenium,-24.7144444,47.0119444
Tectaria,-24.7144444,47.0119444
Cyathea_emilei,-24.7127778,47.01
Lygodium_lanceolatum,-24.7113889,47.1883333
Dryopteris,-24.7097222,47.0152778
Asplenium,-24.7088889,47.0086111
Microsorium,-24.7088889,47.0086111
Schizaea_dichotoma,-24.7088889,47.0086111
Asplenium_prionitis,-24.7,46.7333333
Nephrolepis_cordifolia,-24.7,46.7333333
Cochlidium_serrulatum,-24.7,46.7333333
Pleopeltis_lanceolata,-24.7,46.7333333
Microsorum_pappei,-24.7,46.7333333
Loxogramme_abyssinica,-24.7,46.7333333
Thelypteris_confluens,-24.7,46.7333333
Deparia_parvisora,-24.7,46.7333333
Elaphoglossum_conforme,-24.7,46.8666667
Blechnum_simillimum,-24.7,46.8666667
Blechnum_tabulare,-24.6833333,46.8
Blechnum_bakeri,-24.6833333,46.8166667
Cyathea_boivinii_boivinii,-24.6833333,46.8166667
Pityrogramma_calomelanos,-24.6833333,46.8666667
Selaginella_digitata,-24.68333,44.75
Microsorum_scolopendria,-24.6805556,47.1952777
Cyclosorus_interruptus,-24.6772223,47.1938889
Nephrolepis_biserrata,-24.6772223,47.1991666
Microsorum_punctatum,-24.675,46.8083333
Stenochlaena_tenuifolia,-24.675,46.8083333
Elaphoglossum,-24.6666667,46.8
Schizaea_dichotoma,-24.6666667,46.8
Blechnum_biforme,-24.6666667,46.8
Microsorum_scolopendria,-24.6647222,47.2161111
Schizaea_dichotoma,-24.6647222,47.2161111
Dicranopteris_linearis,-24.6647222,47.2161111
Selaginella_digitata,-24.65,46.43333
Adiantum_phanerophlebium,-24.6364,46.845
Adiantum_phanerophlebium,-24.6363889,46.845
Tectaria_magnifica,-24.6333333,46.4333333
